Date et Heure,Température (°C),Humidité (%),Statut,Alertes,Risque de Panne (%),Statut Moteur,Détails
2025-04-21 10:15:32,24.8,65.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:15:42,24.8,65.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:15:52,24.9,64.5,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:16:02,25.0,64.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:16:12,25.5,67.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:16:22,25.7,63.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:16:32,25.9,62.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:16:45,25.8,64.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:16:52,26.0,64.6,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:17:02,26.0,62.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:17:12,26.0,61.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:17:22,25.9,60.4,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:17:32,26.0,60.8,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:17:52,26.0,61.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:18:02,25.9,62.6,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:18:12,25.8,62.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:18:22,25.9,60.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:18:32,25.8,60.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:18:42,25.8,60.7,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:18:52,25.8,62.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:19:02,25.8,61.4,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:19:12,25.8,62.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:19:22,25.7,64.8,normal,NORMAL,0.0,OK,Normal
2025-04-21 10:19:32,25.7,64.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:17:26,23.6,54.6,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:17:35,23.6,54.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:17:45,23.6,54.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:17:55,24.5,80.8,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:18:05,30.6,87.7,alert,TEMP_HAUTE | HUMIDITE_CRITIQUE_HAUTE,0.0,OK,Normal
2025-04-21 15:18:15,30.8,81.4,alert,TEMP_HAUTE,0.0,OK,Normal
2025-04-21 15:18:25,30.7,89.4,alert,TEMP_HAUTE | HUMIDITE_CRITIQUE_HAUTE,0.0,OK,Normal
2025-04-21 15:18:35,29.4,84.6,alert,HUMIDITE_HAUTE,0.0,OK,Normal
2025-04-21 15:18:45,28.9,78.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:18:55,28.7,67.9,normal,NORMAL,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:19:16,28.3,66.2,normal,NORMAL,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:19:37,27.9,65.3,normal,NORMAL,90.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Instabilité thermique | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:19:54,27.4,64.9,normal,NORMAL,70.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:19:56,27.1,63.2,normal,NORMAL,70.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:19:58,26.6,62.4,normal,NORMAL,70.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:20:00,26.4,65.0,normal,NORMAL,70.0,CRITIQUE,⚠️ Surchauffe détectée | ⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:20:05,26.2,63.2,normal,NORMAL,40.0,ATTENTION,⚠️ Humidité excessive | ⚠️ Variations d'humidité anormales
2025-04-21 15:20:15,25.8,64.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:20:25,25.5,65.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 15:20:35,25.2,64.7,normal,NORMAL,0.0,OK,Normal
